City_Name,Longitude,Latitude,Overall_Rank,General_Fund_Reserves_Rank,Debt_Burden_Rank,Liquidity_Rank,Revenue_Trends_Rank,Pension_Obligations_Rank,Pension_Funding_Rank,Pension_Costs_Rank,Future_Pension_Costs_Rank,OPEB_Obligations_Rank,OPEB_Funding_Rank,Overall_Risk,General_Fund_Reserves_Risk,Debt_Burden_Risk,Liquidity_Risk,Revenue_Trends_Risk,Pension_Obligations_Risk,Pension_Funding_Risk,Pension_Costs_Risk,Future_Pension_Costs_Risk,OPEB_Obligations_Risk,OPEB_Funding_Risk,Overall_Points,General_Fund_Reserves_Points,Debt_Burden_Points,Liquidity_Points,Revenue_Trends_Points,Pension_Obligations_Points,Pension_Funding_Points,Pension_Costs_Points,Future_Pension_Costs_Points,OPEB_Obligations_Points,OPEB_Funding_Points,General_Fund_Reserves_Ratio,Debt_Burden_Ratio,Liquidity_Ratio,Revenue_Trends_Ratio,Pension_Obligations_Ratio,Pension_Funding_Ratio,Pension_Costs_Ratio,Future_Pension_Costs_Ratio,OPEB_Obligations_Ratio,OPEB_Funding_Ratio,Population,Unemployment_rate,General_Fund_Cash_and_Investments,General_Fund_Liabilities,Primary_Government_Long_Term_Obligations_Excluding_Retirement_Obligations,Government_Wide_Revenue,Change_GF_Unrestricted_Fund_Balances,GF_Unrestricted_Fund_Balances,GF_Expenditures_Transfers_Out,GF_Unrestricted_FB_PY_PY,GF_Unrestricted_FB_PY,GF_Unrestricted_FB_CY,GF_Rev_PY_PY,GF_Rev_PY,GF_Rev_CY,Net_Pension_Liability_or_Asset,Pension_Related_Debt,Pension_Assets,Accrued_Pension_Liabilities,Actuarially_Determined_Pension_Contributions,Projected_Pension_Contribution,Net_OPEB_Liability_or_Asset
Manhattan Beach,-118.3935254,33.8897798,174,111,246,58,81,185,226,149,130,74,275,Moderate,MODERATE,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,67.44,12.21,13.91,10,2.63,7.04,3.7,3.06,1.94,10,2.95,0.34,0.33,4.87,0.01,0.62,0.74,0.07,0.11,0.06,0.59,34298,0.073,28015235,5757796,43584687,131720326,0.03,25247119,73636267,23860400,24694460,25247119,71608819,76132717,73425768,81696758,0,251839170,342511329,9060455,14732302,7461909
Maricopa,-112.49123,33.34883,421,309,309,58,109,337,402,408,408,74,325,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,97.75,30,15,10,2.75,10,5,5,5,10,5,1.61,0,19.57,0.02,NA,NA,NA,NA,NA,NA,2500,0.171,332008,16961,0,834845,0.04,406764,252583,383486,358889,406764,293149,260870,300458,NA,NA,NA,NA,NA,NA,NA
Marina,-121.8022,36.6844,311,309,84,58,329,297,226,271,263,74,1,Low,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,82.86,30,9.16,10,3.5,9.28,3.7,3.89,3.33,10,0,0.89,0.9,7.48,0.08,0.34,0.74,0.04,0.06,0.08,0,21836,0.099,17301033,2312820,54977941,61223410,0.44,23910507,26771131,11524099,17172740,23910507,23534750,25837621,27226983,20787954,0,65947137,88896712,2739136,3782505,4834191
Martinez,-122.1338674,38.0138934,172,181,119,58,388,126,94,40,130,74,275,Moderate,LOW,MODERATE,LOW,LOW,MODERATE,HIGH,HIGH,HIGH,LOW,HIGH,67.25,16.53,10.66,10,4.13,5.6,3.5,1.94,1.94,10,2.95,0.46,0.72,4.43,0.13,0.8,0.7,0.11,0.11,0.15,0.59,38027,0.078,12887708,2910389,39113002,54236750,0.03,12994768,28221265,12358561,12734942,12994768,22232253,24789692,28076110,43127749,0,107843239,153657045,5774304,6095991,8143260
Maywood,-118.185349,33.9866807,48,112,84,40,329,65,2,91,107,74,1,Moderate,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,HIGH,MODERATE,HIGH,LOW,HIGH,52.47,12.24,9.16,7.25,3.5,3.2,2.95,2.5,1.67,10,0,0.31,0.9,1.45,0.08,1.1,0.59,0.09,0.12,0.18,0,26595,0.115,5664648,3901056,14809399,16444630,0.52,3468705,11066474,1565885,1902819,3468705,10989452,10830487,12539870,18123469,0,27567564,46431986,1416553,2026874,2880333
Mendota,-120.3827,36.7541,374,293,106,58,413,337,383,388,392,74,325,Low,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,90.44,26.05,10.25,10,5,10,4.7,4.72,4.72,10,5,0.66,0.77,9.75,0.21,0,0.94,0.01,0.01,NA,NA,12427,0.241,2209126,226547,9231821,12004158,0.5,2277568,3449006,1017426,1541274,2277568,2340269,2865370,3436179,7214,0,598420,633326,80969,122228,NA
Menifee,-117.1853,33.6903,381,302,305,58,347,337,392,388,392,74,1,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,HIGH,90.9,28.02,14.91,10,3.63,10,4.9,4.72,4.72,10,0,0.71,0.21,2.77,0.09,0,0.98,0.01,0.01,0.01,0,97675,0.101,52659912,19030588,25013858,121786496,0.3,41592603,58855238,24827362,35070521,41592603,55729807,61101247,65185364,23598,0,10298868,10556146,1089277,829510,876974
Menlo Park,-122.177992,37.4519671,300,262,276,58,196,202,226,91,161,74,325,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,LOW,81.27,23,14.49,10,3,7.36,3.7,2.5,2.22,10,5,0.62,0.26,5.97,0.04,0.58,0.74,0.09,0.1,-0.04,1.21,34934,0.042,46522704,7797547,27323227,105270710,0.09,41502635,66557859,35711323,42427142,41502635,60990425,70228408,65073363,60592063,0,190414603,256040814,9233409,10846890,NA
Merced,-120.7678602,37.1641544,177,161,205,58,269,175,160,149,130,74,164,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,67.99,15.75,13.16,10,3.25,6.88,3.6,3.06,1.94,10,0.35,0.42,0.42,8.44,0.06,0.64,0.72,0.07,0.11,0.21,0.07,88235,0.119,21567448,2554457,61443501,144824821,0.11,19218274,45943807,15616507,17768344,19218274,39986340,43164247,44818121,88937578,3200000,246776650,344012800,9612297,15353750,30119000
Millbrae,-122.400941,37.598958,218,250,106,58,153,122,70,189,208,74,269,Low,LOW,MODERATE,LOW,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,LOW,HIGH,72.71,21.78,10.25,10,2.88,5.44,3.45,3.33,2.78,10,2.8,0.62,0.77,6.33,0.03,0.82,0.69,0.06,0.08,0.08,0.56,22630,0.065,19874352,3140380,60502402,78730399,-0.02,18332823,29575856,19258511,16683214,18332823,30075698,32470240,31554850,51509253,13261919,121663365,175901234,4514053,6201297,5935004
