City_Name,Longitude,Latitude,Overall_Rank,General_Fund_Reserves_Rank,Debt_Burden_Rank,Liquidity_Rank,Revenue_Trends_Rank,Pension_Obligations_Rank,Pension_Funding_Rank,Pension_Costs_Rank,Future_Pension_Costs_Rank,OPEB_Obligations_Rank,OPEB_Funding_Rank,Overall_Risk,General_Fund_Reserves_Risk,Debt_Burden_Risk,Liquidity_Risk,Revenue_Trends_Risk,Pension_Obligations_Risk,Pension_Funding_Risk,Pension_Costs_Risk,Future_Pension_Costs_Risk,OPEB_Obligations_Risk,OPEB_Funding_Risk,Overall_Points,General_Fund_Reserves_Points,Debt_Burden_Points,Liquidity_Points,Revenue_Trends_Points,Pension_Obligations_Points,Pension_Funding_Points,Pension_Costs_Points,Future_Pension_Costs_Points,OPEB_Obligations_Points,OPEB_Funding_Points,General_Fund_Reserves_Ratio,Debt_Burden_Ratio,Liquidity_Ratio,Revenue_Trends_Ratio,Pension_Obligations_Ratio,Pension_Funding_Ratio,Pension_Costs_Ratio,Future_Pension_Costs_Ratio,OPEB_Obligations_Ratio,OPEB_Funding_Ratio,Population,Unemployment_rate,General_Fund_Cash_and_Investments,General_Fund_Liabilities,Primary_Government_Long_Term_Obligations_Excluding_Retirement_Obligations,Government_Wide_Revenue,Change_GF_Unrestricted_Fund_Balances,GF_Unrestricted_Fund_Balances,GF_Expenditures_Transfers_Out,GF_Unrestricted_FB_PY_PY,GF_Unrestricted_FB_PY,GF_Unrestricted_FB_CY,GF_Rev_PY_PY,GF_Rev_PY,GF_Rev_CY,Net_Pension_Liability_or_Asset,Pension_Related_Debt,Pension_Assets,Accrued_Pension_Liabilities,Actuarially_Determined_Pension_Contributions,Projected_Pension_Contribution,Net_OPEB_Liability_or_Asset
Newman,-121.0204222,37.3139487,321,281,309,58,376,151,226,61,236,74,325,Low,LOW,LOW,LOW,LOW,MODERATE,MODERATE,HIGH,MODERATE,LOW,LOW,84.11,24.89,15,10,4,6.24,3.7,2.22,3.06,10,5,0.65,0.03,18.38,0.12,0.72,0.74,0.1,0.07,NA,NA,11702,0.158,3287617,178832,418983,14830136,0.15,3528146,5461983,2718927,2820369,3528146,4463456,4939389,5521226,10647950,0,16930483,22914887,1528125,969891,NA
Newport Beach,-117.9294401,33.6170092,107,126,191,58,153,77,116,27,33,74,258,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,MODERATE,HIGH,HIGH,LOW,HIGH,60.72,13.07,12.83,10,2.88,3.84,3.55,1.67,0.28,10,2.6,0.36,0.46,6.98,0.03,1.02,0.71,0.12,0.17,0.07,0.52,86834,0.068,86746555,12435621,137855267,302021904,0.04,81508923,227455682,75449904,78681480,81508923,216516466,229812594,229953016,306719430,0,750726765,1060808476,36060919,50629354,22614741
Norco,-117.5508901,33.9323307,348,309,72,58,405,282,70,271,296,74,273,Low,LOW,MODERATE,LOW,LOW,LOW,HIGH,LOW,LOW,LOW,HIGH,86.35,30,8.83,10,4.63,9.04,3.45,3.89,3.61,10,2.9,0.98,0.94,6.33,0.17,0.37,0.69,0.04,0.05,0.13,0.58,27892,0.082,21812238,3446948,51820469,55223972,0.34,22070157,22608127,12390363,17404159,22070157,19534565,23029386,26760588,20248873,0,48680506,70047459,2041307,2489298,7211257
Norwalk,-118.0817,33.9022,146,96,196,58,196,230,116,230,208,58,191,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,LOW,MODERATE,LOW,HIGH,65.16,10.66,12.99,10,3,7.92,3.55,3.61,2.78,9.6,1.05,0.3,0.44,3.84,0.04,0.51,0.71,0.05,0.08,0.3,0.21,102635,0.135,18070158,4699852,46902600,107676201,0,15321610,50755031,15429547,16533047,15321610,46533016,49840784,49638948,54888036,0,140874166,199081706,5607849,8568251,32531056
Oakdale,-120.8471,37.7666,203,152,200,58,269,126,116,149,130,74,325,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,LOW,70.25,14.77,13.08,10,3.25,5.6,3.55,3.06,1.94,10,5,0.39,0.43,3.53,0.06,0.8,0.71,0.07,0.11,NA,NA,23228,0.143,4916681,1394629,14534203,33847475,0.12,5558271,14162292,4398417,4947708,5558271,12218253,13180030,13531880,25338661,1802900,65651668,93056378,2320760,3666020,NA
Oakland,-122.271356,37.8044557,15,44,135,58,238,1,24,5,1,30,154,Moderate,HIGH,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,43.03,6.11,11.33,10,3.13,0,3.3,0.56,0,8.4,0.2,0.17,0.64,2.51,0.05,1.55,0.66,0.16,0.18,0.45,0.04,424891,0.105,567402000,226381000,849170000,1318041000,0.02,149959000,867099000,150083000,186848000,149959000,765882000,840434000,832679000,1717434000,319070000,3899458702,5938922519,204340000,239393864,598569000
Oakley,-121.7124536,37.9974219,409,309,266,58,269,337,376,230,355,74,325,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,94.86,30,14.33,10,3.25,10,4.5,3.61,4.17,10,5,0.84,0.28,8.43,0.06,0.05,0.9,0.05,0.03,NA,NA,42710,0.099,14656579,1738163,12130290,44034570,0.09,13302121,15918783,11428720,11715132,13302121,15006026,15361305,16974080,2313974,0,15057597,16718734,2174321,1431865,NA
Oceanside,-117.379483,33.1958696,184,155,266,58,347,168,275,149,130,74,1,Moderate,MODERATE,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,68.56,15.16,14.33,10,3.63,6.64,3.8,3.06,1.94,10,0,0.4,0.28,8.66,0.09,0.67,0.76,0.07,0.11,0.02,0,174648,0.1,77151709,8912695,108717196,386722415,0.12,69790468,174699938,56545263,66541009,69790468,140010179,152335806,164296835,240470627,20495000,785782720,1033612093,28198614,41550651,9553658
Ojai,-119.242889,34.4480495,187,105,309,58,109,250,194,189,263,74,181,Moderate,MODERATE,LOW,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,LOW,HIGH,68.78,11.47,15,10,2.75,8.4,3.65,3.33,3.33,10,0.85,0.33,0.02,2.3,0.02,0.45,0.73,0.06,0.06,0.23,0.17,7587,0.107,4963380,2158045,262603,12035065,-0.04,3241343,9767673,3640798,4118005,3241343,9426144,10290078,9660115,5370604,0,14909259,20544791,667202,746473,2813546
Ontario,-117.6509,34.0633,137,154,214,54,196,68,397,91,296,53,1,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,LOW,MODERATE,LOW,LOW,HIGH,63.94,15,13.33,8.75,3,3.36,4.95,2.5,3.61,9.44,0,0.38,0.4,1.75,0.04,1.08,0.99,0.09,0.05,0.32,0,183393,0.089,54108152,30839521,202914777,511525046,0.23,103080809,271075353,68476315,84479102,103080809,224013641,245831986,241432616,314099446,236585000,1152272828,1166872568,43900207,23258740,162628638
Orange,-117.8722311,33.750631,47,76,309,58,196,19,94,13,1,74,1,Moderate,MODERATE,LOW,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,52.36,9.03,15,10,3,0.72,3.5,1.11,0,10,0,0.26,0.15,4.71,0.04,1.41,0.7,0.14,0.21,0.2,0,138192,0.082,30545357,6490390,28357052,192135537,-0.03,32313009,124685706,34763378,38610758,32313009,111107475,124241260,118315015,271042398,0,667400435,954487043,27142866,40583130,38688381
Orinda,-122.1796888,37.8771476,303,309,16,58,238,337,402,408,408,74,233,Low,LOW,HIGH,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,HIGH,81.66,30,1.58,10,3.13,10,5,5,5,10,1.95,0.9,1.81,3.87,0.05,NA,NA,NA,NA,0.01,0.39,19557,0.064,15000149,3876479,49569386,27416826,0.2,12821940,14300735,8917186,10353791,12821940,14898308,16033072,16182649,NA,NA,NA,NA,NA,NA,166629
Orland,-122.191135,39.7471106,127,81,186,58,347,207,116,189,182,74,1,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,HIGH,62.66,9.47,12.74,10,3.63,7.44,3.55,3.33,2.5,10,0,0.24,0.47,2.16,0.09,0.57,0.71,0.06,0.09,0.05,0,8068,0.096,1610820,745343,5368955,11524256,0.23,1571603,6468983,1086261,1601867,1571603,5459053,6199021,6438719,6224420,343600,16625236,23374185,684036,1043517,554225
Oroville,-121.556359,39.5137752,328,309,309,58,413,144,160,123,161,74,1,Low,LOW,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,84.68,30,15,10,5,6.08,3.6,2.78,2.22,10,0,0.97,0.11,6.56,0.33,0.74,0.72,0.08,0.1,0.06,0,20237,0.098,17573626,2679422,3794119,36050818,0.68,16730178,17299501,6002676,9141880,16730178,13687991,16949139,24032774,23698879,2830000,62648437,87308604,3046474,3469050,1992951
Oxnard,-119.180381,34.1976308,42,70,55,50,196,144,226,61,107,74,1,Moderate,MODERATE,HIGH,LOW,MODERATE,MODERATE,MODERATE,HIGH,HIGH,LOW,HIGH,51.78,8.81,7.75,8.55,3,6.08,3.7,2.22,1.67,10,0,0.23,1.07,1.71,0.04,0.74,0.74,0.1,0.12,0.12,0,207945,0.093,36762494,21497748,431881552,402721704,0.14,38340504,166366428,29903896,31706495,38340504,144677250,159475918,155188643,298870202,0,897435846,1213421889,39034449,49293085,46686235
Pacific Grove,-121.917794,36.6211149,67,128,255,58,81,1,51,61,1,74,1,Moderate,MODERATE,LOW,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,55.57,13.24,14.08,10,2.63,0,3.4,2.22,0,10,0,0.39,0.31,6.51,0.01,1.67,0.68,0.1,0.18,0.13,0,15299,0.086,8727954,1341677,10344525,32851356,-0.08,9813734,25404658,11652288,11499203,9813734,22919219,24364830,23356876,42724136,12228861,98008155,143989867,3404853,5806233,4117497
Pacifica,-122.4995234,37.5980374,80,146,61,58,196,76,257,149,57,74,1,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,MODERATE,MODERATE,HIGH,LOW,HIGH,57.58,14.6,8.58,10,3,3.76,3.75,3.06,0.83,10,0,0.37,0.97,3.84,0.04,1.03,0.75,0.07,0.15,0.1,0,38013,0.073,12798872,3329440,61059153,62724704,0.22,12719362,34062946,8550384,11048059,12719362,32332322,33731122,34617379,55226076,9685000,182710957,244733411,4315593,9327345,6561387
Palm Desert,-116.384439,33.71880025,396,309,309,58,49,297,226,230,296,74,325,Low,LOW,LOW,LOW,HIGH,LOW,MODERATE,LOW,LOW,LOW,LOW,92.58,30,15,10,2.38,9.28,3.7,3.61,3.61,10,5,1.42,0.05,12.71,-0.01,0.34,0.74,0.05,0.05,0,1,53524,0.108,86456386,6802335,5613077,102093536,0.04,85682459,60135357,79861454,82483674,85682459,59241399,64721710,57497862,34824923,0,105511655,142315379,4736668,5592527,NA
Palm Springs,-116.540303,33.8246269,72,130,97,58,27,128,36,149,130,18,1,Moderate,MODERATE,MODERATE,LOW,HIGH,MODERATE,HIGH,MODERATE,HIGH,MODERATE,HIGH,56.53,13.35,9.66,10,2.13,5.68,3.35,3.06,1.94,7.36,0,0.38,0.84,10.21,-0.03,0.79,0.67,0.07,0.11,0.58,0,48929,0.107,43223788,4235105,201805111,240231891,-0.01,46825972,124074932,47290762,49622641,46825972,122045867,140127847,112439830,170859515,19358146,363816250,543349192,16790548,25818998,139514316
Palmdale,-118.11711,34.5793131,388,309,158,58,302,313,194,316,296,74,325,Low,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,LOW,91.41,30,12.08,10,3.38,9.52,3.65,4.17,3.61,10,5,0.87,0.55,5,0.07,0.31,0.73,0.03,0.05,0,1.19,150498,0.153,68651082,13742736,84472154,152541234,0.15,63359983,72979934,47752858,57868465,63359983,64428761,71960691,72526383,46963768,0,137971710,189495804,4766182,7640475,NA
Palo Alto,-122.1598465,37.4443293,109,67,208,58,81,137,12,149,130,74,251,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,61.03,8.59,13.24,10,2.63,5.92,3.25,3.06,1.94,10,2.4,0.25,0.41,5.78,0.01,0.76,0.65,0.07,0.11,0.22,0.48,67008,0.04,46853000,8106000,238099000,584624000,-0.05,52872000,214329000,60297000,67568000,52872000,180084000,197079000,180385000,442953000,0,888802836,1361885739,43132000,62197631,127030000
Palos Verdes Estates,-118.401813,33.7872386,354,309,309,58,238,144,116,149,107,74,325,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,LOW,87.49,30,15,10,3.13,6.08,3.55,3.06,1.67,10,5,0.83,0.03,14.65,0.05,0.74,0.71,0.07,0.12,NA,NA,13079,0.05,15163462,1034776,674735,22258751,0.24,14890611,17965905,9796521,12508711,14890611,14206383,15929144,15403234,16497599,0,44957581,63062425,1507558,2697928,NA
Paradise,-115.125108,36.0608658,241,309,309,33,109,50,70,230,130,46,148,Low,LOW,LOW,MODERATE,MODERATE,HIGH,HIGH,LOW,HIGH,LOW,HIGH,74.72,30,15,5.95,2.75,2.72,3.45,3.61,1.94,9.2,0.1,15.72,0.03,1.19,0.02,1.16,0.69,0.05,0.11,0.35,0.02,4329,0.086,3982873,3335860,891347,28459167,37.57,222467136,14151071,2521411,2927792,222467136,12677964,11880903,13070100,23502428,9477450,57527267,82908231,1476369,3171577,9984599
Paramount,-118.171005,33.898917,296,280,276,58,109,219,257,189,208,74,212,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,HIGH,81.05,24.59,14.49,10,2.75,7.76,3.75,3.33,2.78,10,1.6,0.67,0.26,7.67,0.02,0.53,0.75,0.06,0.08,0.23,0.32,53018,0.142,17814087,2321103,11997734,45459312,0.06,18217272,27227217,16322553,17389695,18217272,26701585,27791105,27698470,23926634,0,71582725,95371514,2886867,3850462,10584883
Parlier,-119.5389158,36.61017,75,1,309,1,406,337,322,354,327,74,325,Moderate,HIGH,LOW,HIGH,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,56.98,0,15,0,4.75,10,3.9,4.44,3.89,10,5,-0.48,0.12,0,0.18,0.13,0.78,0.02,0.04,NA,NA,15848,0.088,0,4002719,1840830,14804114,-0.74,-3088436,6409525,-1184027,-1296461,-3088436,3240565,3758379,4485201,1942658,0,7828219,9997565,326390,529648,NA
Pasadena,-118.144155,34.1476507,88,83,147,58,302,114,257,123,130,74,149,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,58.24,9.54,11.66,10,3.38,5.04,3.75,2.78,1.94,10,0.15,0.26,0.6,3.85,0.07,0.87,0.75,0.08,0.11,0.12,0.03,141045,0.104,77549317,20158770,434319642,727765565,0.07,80646496,308635416,71326735,85479733,80646496,233028584,251535700,266065892,498493999,136738949,1527452989,2049472141,57173244,77504396,83758703
Paso Robles,-120.6901319,35.6262618,226,247,57,58,238,234,160,230,208,74,244,Low,LOW,HIGH,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,73.29,21.64,8.25,10,3.13,8.08,3.6,3.61,2.78,10,2.2,0.63,1.01,10.82,0.05,0.49,0.72,0.05,0.08,0.11,0.44,31521,0.079,24961230,2307059,85636294,84560147,-0.06,27469063,43480522,32364562,23877861,27469063,39747475,42618330,43847775,41296614,0,110143123,153583236,4470305,6794727,9431063
Patterson,-121.1297,37.4717,119,177,13,51,397,337,294,316,327,74,1,Moderate,LOW,HIGH,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,HIGH,62.26,16.33,1.17,8.6,4.25,10,3.85,4.17,3.89,10,0,0.44,1.86,1.72,0.14,0.18,0.77,0.03,0.04,0.24,0,22542,0.105,5130105,2989743,93624265,50217584,0.09,8626522,19478442,7317420,7798523,8626522,14107092,16452282,18211866,9114559,0,34192429,44157511,1598214,2049926,12287665
Perris,-117.2298477,33.7818729,220,271,30,58,370,337,397,13,392,74,1,Low,LOW,HIGH,LOW,LOW,LOW,LOW,HIGH,LOW,LOW,HIGH,72.84,23.68,4.5,10,3.88,10,4.95,1.11,4.72,10,0,0.6,1.46,2.02,0.11,0.12,0.99,0.14,0.01,0.19,0,79011,0.112,41707309,20661192,169209202,115913257,0.27,35056007,58183721,22993355,35697611,35056007,46108384,49535623,56527133,14273741,0,57720030,58072988,16319023,886566,22056223
Petaluma,-122.636465,38.2325829,65,94,66,58,49,137,94,149,94,74,1,Moderate,MODERATE,MODERATE,LOW,HIGH,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,55.44,10.53,8.66,10,2.38,5.92,3.5,3.06,1.39,10,0,0.29,0.96,3.07,-0.01,0.76,0.7,0.07,0.13,0.11,0,60632,0.073,10871742,3544287,123832591,128864273,0.05,13963653,48893881,13011258,15425708,13963653,45809145,48446803,44798213,97921318,0,243096554,349426233,9546604,16152739,14216269
Pico Rivera,-118.096735,33.9830688,304,309,93,58,27,255,24,271,263,74,183,Low,LOW,MODERATE,LOW,HIGH,LOW,HIGH,LOW,MODERATE,LOW,HIGH,81.69,30,9.5,10,2.13,8.64,3.3,3.89,3.33,10,0.9,0.88,0.86,9.58,-0.03,0.42,0.66,0.04,0.06,0.23,0.18,61338,0.133,31519717,3291539,79736257,93163909,0.01,35836960,40626389,35584720,33391036,35836960,43598587,41859180,41115931,39024827,0,79040842,119837969,3521094,5388156,21825248
Piedmont,-122.2316,37.8244,110,50,276,58,34,241,362,61,57,66,257,Moderate,MODERATE,LOW,LOW,HIGH,LOW,LOW,HIGH,HIGH,LOW,HIGH,61.21,6.75,14.49,10,2.25,8.16,4.25,2.22,0.83,9.76,2.5,0.19,0.26,3.09,-0.02,0.48,0.85,0.1,0.15,0.28,0.5,11335,0.075,8123536,2624867,9018203,34408923,0.01,5542094,29256337,5505454,6183135,5542094,29757358,29762060,28733313,16539307,0,107574917,127113770,3367402,5183832,9575372
Pinole,-122.2988587,38.0043667,135,309,57,58,153,63,116,61,41,4,1,Moderate,LOW,HIGH,LOW,MODERATE,HIGH,MODERATE,HIGH,HIGH,HIGH,HIGH,63.78,30,8.25,10,2.88,3.12,3.55,2.22,0.56,3.2,0,0.96,1.01,37.1,0.03,1.11,0.71,0.1,0.16,1.1,0,19207,0.089,35802695,965099,33464943,33167914,-0.12,19080259,19875082,25780881,17341286,19080259,20116384,20369792,21359487,33914595,2961839,90084028,126779802,3367332,5172199,36379615
Pismo Beach,-120.641288,35.1427436,391,309,229,58,153,321,294,316,296,74,306,Low,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,MODERATE,91.67,30,13.58,10,2.88,9.68,3.85,4.17,3.61,10,3.9,0.76,0.37,9.15,0.03,0.29,0.77,0.03,0.05,0.02,0.78,7955,0.052,21360744,2333248,21124107,57691541,-0.02,21431822,28241186,22409565,23210757,21431822,23893866,25441412,25170837,16757329,0,58559313,76416813,1814133,2903372,910468
Pittsburg,-121.8847,38.0279,204,184,241,58,269,149,226,230,208,66,172,Moderate,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,LOW,MODERATE,LOW,HIGH,70.38,16.69,13.83,10,3.25,6.16,3.7,3.61,2.78,9.76,0.6,0.45,0.34,3.44,0.06,0.73,0.74,0.05,0.08,0.28,0.12,72622,0.114,23061313,6712743,42966866,127051079,0.09,22333497,49696500,18954734,22455070,22333497,39665970,43535213,44056383,59897867,33422178,172344416,232976904,6408740,9930042,35511359
Placentia,-117.8703,33.8722,99,69,251,58,376,151,116,149,130,30,1,Moderate,MODERATE,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,59.86,8.68,13.99,10,4,6.24,3.55,3.06,1.94,8.4,0,0.22,0.32,2.29,0.12,0.72,0.71,0.07,0.11,0.45,0,51519,0.087,7369128,3222594,18686957,58478517,1.19,9677190,44745066,2054111,5071546,9677190,33339154,35796833,41557041,42211580,0,110119103,156006057,3903677,6189138,26489834
Pleasant Hill,-122.0607963,37.9479786,142,132,309,58,238,50,116,40,1,74,325,Moderate,MODERATE,LOW,LOW,MODERATE,HIGH,MODERATE,HIGH,HIGH,LOW,LOW,64.76,13.42,15,10,3.13,2.72,3.55,1.94,0,10,5,0.4,0.06,3.61,0.05,1.16,0.71,0.11,0.18,NA,NA,34781,0.075,14143893,3922892,2366534,37242484,-0.1,12405894,30916144,15358638,12309855,12405894,28074484,29570761,30910092,43189907,0,111054418,156050886,4191149,6581663,NA
Pleasanton,-121.8746789,37.6624312,74,34,229,58,109,164,51,61,33,74,275,Moderate,HIGH,LOW,LOW,MODERATE,MODERATE,HIGH,HIGH,HIGH,LOW,HIGH,56.92,5.18,13.58,10,2.75,6.56,3.4,2.22,0.28,10,2.95,0.16,0.37,6.32,0.02,0.68,0.68,0.1,0.17,0.17,0.59,80247,0.063,33998808,5378397,73392004,198284154,-0.15,19279867,118408269,27610496,29077433,19279867,120854249,126900375,124920607,134521061,0,492645141,721559017,20738534,33423469,33901000
Plymouth,-120.8438,38.4819,392,309,98,58,49,337,402,408,408,74,325,Low,LOW,MODERATE,LOW,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,92.13,30,9.75,10,2.38,10,5,5,5,10,5,1.34,0.83,17.42,-0.01,NA,NA,NA,NA,NA,NA,1043,0.06,1090376,62579,3008347,3615929,0.19,1171646,874140,838197,1068663,1171646,997010,1105889,977123,NA,NA,NA,NA,NA,NA,NA
Pomona,-117.7517496,34.0553813,31,53,68,58,329,98,70,91,94,32,1,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,49.68,7.13,8.75,10,3.5,4.48,3.45,2.5,1.39,8.48,0,0.19,0.95,3.42,0.08,0.94,0.69,0.09,0.13,0.44,0,149212,0.134,14956203,4367226,215777924,228126322,0.11,21724459,115421925,17945035,21982266,21724459,98386312,105933388,113209740,207192651,7987933,494650334,712574360,19822802,29722149,100986079
Porterville,-119.0167679,36.06523,188,208,116,58,153,211,94,189,182,74,1,Moderate,LOW,MODERATE,LOW,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,LOW,HIGH,68.85,18.54,10.58,10,2.88,7.52,3.5,3.33,2.5,10,0,0.54,0.73,7.57,0.03,0.56,0.7,0.06,0.09,0.13,0,58949,0.155,15066308,1990975,67943237,93465995,-0.05,17627595,32357658,19459639,17131057,17627595,27092932,28826824,28891233,51327834,585000,131315641,186532887,5581527,8316750,11814915
Portola,-120.4695123,39.8104983,382,309,149,58,6,337,369,388,355,74,325,Low,LOW,MODERATE,LOW,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,90.95,30,11.83,10,0.88,10,4.35,4.72,4.17,10,5,1.77,0.58,29.64,-0.13,0.11,0.87,0.01,0.03,NA,NA,1913,0.052,2240219,75587,2126882,3682968,-0.02,2367428,1336311,2467246,2463103,2367428,1425852,1285221,1095237,391142,0,3302870,3785415,39456,107786,NA
Poway,-117.035864,32.9628234,368,309,309,58,49,191,160,189,208,74,325,Low,LOW,LOW,LOW,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW,89.29,30,15,10,2.38,7.2,3.6,3.33,2.78,10,5,0.92,0.14,7.25,-0.01,0.6,0.72,0.06,0.08,NA,NA,49246,0.066,53355487,7364346,13727842,94953996,0.03,52741416,57582049,49999281,50806784,52741416,51092682,49845739,49817020,56918548,0,151685077,211383597,6090359,8050485,NA
Rancho Cordova,-121.302728,38.5890723,346,219,309,58,302,337,352,388,392,74,325,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,86.21,19.29,15,10,3.38,10,4.1,4.72,4.72,10,5,0.52,0.15,3.7,0.07,0.03,0.82,0.01,0.01,0,1.27,76166,0.092,32102967,8669637,17158116,114966967,0.08,34687772,66742878,29805660,31285547,34687772,60984164,66473507,69976010,4019968,0,21392474,25978351,973322,1240746,NA
Rancho Cucamonga,-117.575173,34.1033192,398,309,309,58,153,255,349,230,327,74,325,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,93.07,30,15,10,2.88,8.64,4.05,3.61,3.89,10,5,1.04,0.14,28.47,0.03,0.42,0.81,0.05,0.04,-0.02,1.18,178849,0.077,96862878,3401849,29075510,213567019,0.01,93218509,90056833,91749914,92783837,93218509,84593687,92699162,88175753,90185533,0,224480788,277252508,11549115,9403085,NA
Rancho Mirage,-116.4156193,33.775155,418,309,309,58,19,337,402,388,392,74,325,Low,LOW,LOW,LOW,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,96.44,30,15,10,2,10,5,4.72,4.72,10,5,2.11,0.02,20.8,-0.04,-0.01,1,0.01,0.01,0,1.05,18954,0.087,72065944,3464895,1466551,66648618,0.03,71070477,33633152,67928032,73824834,71070477,33250687,35083126,30577123,-578798,0,62926498,62681957,589107,901126,NA
Rancho Palos Verdes,-118.3707683,33.7483311,385,304,309,58,34,303,226,316,263,74,325,Low,LOW,LOW,LOW,HIGH,LOW,MODERATE,LOW,MODERATE,LOW,LOW,91.23,28.42,15,10,2.25,9.36,3.7,4.17,3.33,10,5,0.75,0.01,6.16,-0.02,0.33,0.74,0.03,0.06,NA,NA,40855,0.085,23734081,3854523,403201,36456829,0.12,21499948,28538843,17165561,19772088,21499948,30452619,31618664,29224005,11918073,0,36353995,49280017,1265361,2071317,NA
Rancho Santa Margarita,-117.6029341,33.6408845,366,309,208,58,109,337,341,388,382,74,1,Low,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,HIGH,89.15,30,13.24,10,2.75,10,4,4.72,4.44,10,0,1.18,0.41,17.19,0.02,0.08,0.8,0.01,0.02,0.03,0,47569,0.072,20278967,1179583,9016571,22082706,0.07,21353071,18039174,18713739,20615396,21353071,17564173,19137375,18047470,1697876,0,7219643,9059770,317543,459796,664841
Red Bluff,-122.235923,40.1784279,145,158,309,58,238,102,160,91,57,74,1,Moderate,MODERATE,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,65.09,15.39,15,10,3.13,4.64,3.6,2.5,0.83,10,0,0.39,0.09,5.33,0.05,0.92,0.72,0.09,0.15,0.17,0,14121,0.113,3737730,701235,1729677,19347352,0.29,4376370,11143689,2668972,3712775,4376370,10133862,11528257,11005280,17781562,0,50061015,69511846,1828875,2980832,3213594
Redding,-122.391675,40.5863563,76,74,123,58,329,128,12,123,161,74,1,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,57.08,8.9,10.75,10,3.5,5.68,3.25,2.78,2.22,10,0,0.23,0.71,2.37,0.08,0.79,0.65,0.08,0.1,0.11,0,92456,0.085,21898684,9243180,271824597,380462730,0.16,20159817,88905447,15171781,19882604,20159817,67174860,74329630,77487243,301927475,0,582680030,898873851,32056712,37803205,43334953
Redlands,-117.1827445,34.0550328,129,157,251,58,196,142,116,123,130,12,1,Moderate,MODERATE,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,HIGH,62.71,15.37,13.99,10,3,6,3.55,2.78,1.94,6.08,0,0.41,0.32,10.1,0.04,0.75,0.71,0.08,0.11,0.74,0,72271,0.075,30882729,3058617,57779938,181086063,0.1,31188198,75398715,25942066,29835015,31188198,68641518,72648120,73814057,126490197,8869341,330474447,466909717,13863346,20476646,133984590
